Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5453,0.5407,0.5306,0.5755
GEMMA2-2B,0.3869,0.3516,0.2969,0.3381
GEMMA2-9B,0.53,0.4455,0.4696,0.5971
LLAMA3.1,0.3213,0.2747,0.2799,0.3741
LLAMA3.2_1B,0.1786,0.0167,0.0303,0.0216
LLAMA3.2_3B,0.214,0.1794,0.1725,0.2806
LLAMA3,0.3249,0.2968,0.234,0.3022
MISTRAL_NEMO,0.5039,0.3679,0.4047,0.5612
PHI3.5_MINI,0.3072,0.2936,0.2733,0.3237
PHI3_MEDIUM,0.1893,0.0634,0.0888,0.1871
QWEN2.5_14B,0.5206,0.5434,0.5218,0.6259
QWEN2,0.4185,0.3703,0.3507,0.4532
