Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3461,0.2245,0.2364,0.2878
LLAMA3.1,0.5463,0.3319,0.3422,0.5683
LLAMA3.2_1B,0.1623,0.12,0.1096,0.1655
LLAMA3.2_3B,0.4207,0.2736,0.2839,0.5108
MISTRAL_NEMO,0.3504,0.2282,0.2534,0.3237
PHI3.5_MINI,0.3147,0.3069,0.2803,0.295
PHI3_MEDIUM,0.2048,0.0262,0.0455,0.0432
GEMMA2-2B,0.2372,0.1923,0.1908,0.2662
GEMMA2-9B,0.4981,0.4473,0.4364,0.5036
GEMMA2-27B,0.5815,0.4906,0.5165,0.5683
QWEN2,0.3634,0.1884,0.1642,0.2086
QWEN2.5_14B,0.5473,0.4464,0.4559,0.5683
