Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.559,0.5643,0.5481,0.5971
GEMMA2-2B,0.3692,0.3188,0.3287,0.4532
GEMMA2-9B,0.5912,0.5219,0.5351,0.6331
LLAMA3.1,0.5646,0.4192,0.4513,0.5755
LLAMA3.2_1B,0.4381,0.1871,0.1279,0.1223
LLAMA3.2_3B,0.4557,0.3877,0.3693,0.4676
LLAMA3,0.4258,0.2414,0.258,0.2374
MISTRAL_NEMO,0.4685,0.3802,0.3869,0.4604
PHI3.5_MINI,0.3823,0.4028,0.3652,0.4173
PHI3_MEDIUM,0.3611,0.3853,0.3602,0.4748
QWEN2.5_14B,0.6449,0.5716,0.5955,0.6547
QWEN2,0.4931,0.3548,0.3683,0.4964
