Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4227,0.3638,0.2992,0.2806
LLAMA3.1,0.3963,0.3365,0.3367,0.4173
LLAMA3.2_1B,0.093,0.0977,0.0641,0.0935
LLAMA3.2_3B,0.3065,0.3437,0.2566,0.3309
MISTRAL_NEMO,0.5766,0.2844,0.2942,0.5396
PHI3.5_MINI,0.2888,0.3054,0.2567,0.3094
PHI3_MEDIUM,0.1429,0.0055,0.0106,0.0072
GEMMA2-2B,0.2559,0.2455,0.1683,0.1871
GEMMA2-9B,0.568,0.5203,0.5065,0.5755
GEMMA2-27B,0.5716,0.5825,0.5553,0.5971
QWEN2,0.4974,0.3328,0.3174,0.295
QWEN2.5_14B,0.502,0.5113,0.4826,0.554
