Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3771,0.2731,0.2727,0.3453
LLAMA3.1,0.5632,0.3708,0.3916,0.5755
LLAMA3.2_1B,0.2231,0.2037,0.1227,0.1583
LLAMA3.2_3B,0.4749,0.2973,0.3182,0.554
MISTRAL_NEMO,0.5032,0.3859,0.3395,0.4029
PHI3.5_MINI,0.3234,0.3049,0.2735,0.2878
PHI3_MEDIUM,0.3714,0.0623,0.0987,0.0935
GEMMA2-2B,0.2838,0.1882,0.205,0.2662
GEMMA2-9B,0.5285,0.505,0.5001,0.5468
GEMMA2-27B,0.6059,0.5215,0.5446,0.6115
QWEN2,0.4579,0.2093,0.1637,0.2014
QWEN2.5_14B,0.5586,0.4423,0.4567,0.5683
