Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3317,0.2948,0.2557,0.3741
LLAMA3.1,0.4385,0.3255,0.3416,0.4964
LLAMA3.2_1B,0.1744,0.0954,0.0745,0.1007
LLAMA3.2_3B,0.1726,0.2184,0.1538,0.2662
MISTRAL_NEMO,0.4734,0.3632,0.3764,0.4892
PHI3.5_MINI,0.3776,0.2855,0.2743,0.3597
PHI3_MEDIUM,0.4949,0.0915,0.1455,0.1799
GEMMA2-2B,0.4296,0.3812,0.3554,0.4173
GEMMA2-9B,0.5567,0.4858,0.4904,0.5899
GEMMA2-27B,0.4628,0.4255,0.4383,0.5683
QWEN2,0.4307,0.3236,0.3306,0.4029
QWEN2.5_14B,0.5816,0.5334,0.5214,0.5827
