Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.369,0.3043,0.2684,0.3957
LLAMA3.1,0.4655,0.3715,0.3737,0.5252
LLAMA3.2_1B,0.1518,0.1163,0.0202,0.036
LLAMA3.2_3B,0.3533,0.3566,0.2584,0.3094
MISTRAL_NEMO,0.456,0.3484,0.3762,0.518
PHI3.5_MINI,0.3902,0.279,0.2708,0.3237
PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158
GEMMA2-2B,0.4161,0.3309,0.3358,0.4245
GEMMA2-9B,0.5426,0.4782,0.4834,0.5755
GEMMA2-27B,0.4641,0.441,0.4469,0.5971
QWEN2,0.5333,0.4275,0.3931,0.4317
QWEN2.5_14B,0.5882,0.5381,0.5293,0.5971
