Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3745,0.2676,0.2689,0.3381
LLAMA3.1,0.5681,0.3795,0.399,0.5899
LLAMA3.2_1B,0.1051,0.1444,0.0732,0.1079
LLAMA3.2_3B,0.404,0.2732,0.2764,0.5468
MISTRAL_NEMO,0.5,0.3903,0.3463,0.4029
PHI3.5_MINI,0.3357,0.3161,0.2857,0.3022
PHI3_MEDIUM,0.3452,0.0735,0.1103,0.1079
GEMMA2-2B,0.2854,0.1905,0.2085,0.2734
GEMMA2-9B,0.5163,0.4963,0.4869,0.5324
GEMMA2-27B,0.6059,0.5215,0.5446,0.6115
QWEN2,0.3362,0.2281,0.1472,0.1871
QWEN2.5_14B,0.5585,0.4423,0.4572,0.5683
