Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4349,0.2696,0.3008,0.4029
LLAMA3.1,0.6215,0.3496,0.3767,0.5683
LLAMA3.2_1B,0.2516,0.1295,0.0569,0.0504
LLAMA3.2_3B,0.4594,0.2843,0.312,0.5108
MISTRAL_NEMO,0.5093,0.393,0.3102,0.3669
PHI3.5_MINI,0.3585,0.3106,0.2983,0.295
PHI3_MEDIUM,0.3766,0.07,0.1089,0.1079
GEMMA2-2B,0.2854,0.2559,0.2262,0.2806
GEMMA2-9B,0.5216,0.4969,0.4921,0.5468
GEMMA2-27B,0.5984,0.5237,0.5418,0.6043
QWEN2,0.5796,0.2704,0.2472,0.2302
QWEN2.5_14B,0.5868,0.4795,0.4998,0.5899
