Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4261,0.2636,0.2943,0.3813
LLAMA3.1,0.5344,0.3432,0.3676,0.5612
LLAMA3.2_1B,0.1237,0.1671,0.0692,0.0576
LLAMA3.2_3B,0.3387,0.2768,0.2898,0.4964
MISTRAL_NEMO,0.5109,0.393,0.3103,0.3669
PHI3.5_MINI,0.3629,0.3089,0.3006,0.2878
PHI3_MEDIUM,0.3452,0.0735,0.1103,0.1079
GEMMA2-2B,0.3051,0.3313,0.2471,0.3094
GEMMA2-9B,0.5293,0.501,0.4987,0.5468
GEMMA2-27B,0.5984,0.5237,0.5418,0.6043
QWEN2,0.544,0.3027,0.2561,0.2374
QWEN2.5_14B,0.5892,0.4818,0.5027,0.5971
