Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3658,0.2342,0.2318,0.2302
LLAMA3.1,0.5203,0.3913,0.4172,0.5683
LLAMA3.2_1B,0.2493,0.1705,0.1086,0.1079
LLAMA3.2_3B,0.3519,0.2784,0.286,0.4748
MISTRAL_NEMO,0.4561,0.3549,0.3576,0.446
PHI3.5_MINI,0.3409,0.3167,0.3144,0.4676
PHI3_MEDIUM,0.4005,0.396,0.3698,0.446
GEMMA2-2B,0.3563,0.2668,0.2647,0.295
GEMMA2-9B,0.5562,0.4899,0.5037,0.6043
GEMMA2-27B,0.4991,0.477,0.4812,0.6115
QWEN2,0.5094,0.3408,0.367,0.4892
QWEN2.5_14B,0.6133,0.526,0.5349,0.6259
