Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.415,0.2487,0.264,0.2446
LLAMA3.1,0.5795,0.3983,0.4359,0.5899
LLAMA3.2_1B,0.3923,0.2459,0.1479,0.1367
LLAMA3.2_3B,0.3702,0.2989,0.3059,0.482
MISTRAL_NEMO,0.4781,0.3859,0.3827,0.4388
PHI3.5_MINI,0.342,0.3167,0.3147,0.4676
PHI3_MEDIUM,0.4638,0.4346,0.4223,0.4676
GEMMA2-2B,0.3259,0.2178,0.2401,0.2662
GEMMA2-9B,0.5713,0.5073,0.5163,0.6043
GEMMA2-27B,0.5761,0.5522,0.5561,0.6115
QWEN2,0.6076,0.3649,0.4238,0.4964
QWEN2.5_14B,0.6218,0.535,0.5456,0.6403
