Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3267,0.2341,0.2599,0.4173
LLAMA3.1,0.454,0.2687,0.2966,0.4964
LLAMA3.2_1B,0.1445,0.1772,0.1002,0.1079
LLAMA3.2_3B,0.2373,0.2222,0.2196,0.446
MISTRAL_NEMO,0.4402,0.3483,0.3457,0.4676
PHI3.5_MINI,0.3038,0.3254,0.2927,0.3957
PHI3_MEDIUM,0.3095,0.0469,0.0806,0.0791
GEMMA2-2B,0.2512,0.214,0.2087,0.3453
GEMMA2-9B,0.5636,0.5179,0.5322,0.5827
GEMMA2-27B,0.5637,0.5121,0.5196,0.5827
QWEN2,0.4557,0.32,0.2966,0.3237
QWEN2.5_14B,0.5577,0.5242,0.526,0.6187
