Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3671,0.2763,0.2636,0.4029
LLAMA3.1,0.4221,0.341,0.3513,0.5108
LLAMA3.2_1B,0.1558,0.1469,0.0311,0.0504
LLAMA3.2_3B,0.3444,0.3589,0.2589,0.3165
MISTRAL_NEMO,0.4637,0.3164,0.3464,0.5108
PHI3.5_MINI,0.3748,0.283,0.2711,0.3381
PHI3_MEDIUM,0.2407,0.103,0.1322,0.2734
GEMMA2-2B,0.3926,0.3172,0.3177,0.3957
GEMMA2-9B,0.5488,0.4849,0.4909,0.5827
GEMMA2-27B,0.4641,0.441,0.4469,0.5971
QWEN2,0.4522,0.3664,0.3368,0.4317
QWEN2.5_14B,0.5838,0.5357,0.5244,0.5899
