Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4065,0.2518,0.2754,0.3525
LLAMA3.1,0.4269,0.2601,0.2861,0.4892
LLAMA3.2_1B,0.1684,0.2041,0.1283,0.1439
LLAMA3.2_3B,0.4171,0.3273,0.3373,0.4892
MISTRAL_NEMO,0.3217,0.3057,0.2245,0.3381
PHI3.5_MINI,0.3612,0.3335,0.3107,0.3237
PHI3_MEDIUM,0.3333,0.0468,0.0765,0.0647
GEMMA2-2B,0.3488,0.3159,0.271,0.2878
GEMMA2-9B,0.5136,0.5102,0.5022,0.5468
GEMMA2-27B,0.5865,0.5039,0.5253,0.5827
QWEN2,0.5972,0.2791,0.2601,0.223
QWEN2.5_14B,0.5022,0.4088,0.4241,0.5827
