Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5716,0.5959,0.57,0.6115
GEMMA2-2B,0.3638,0.3431,0.3328,0.446
GEMMA2-9B,0.5636,0.4815,0.499,0.6043
LLAMA3.1,0.5201,0.403,0.4295,0.5827
LLAMA3.2_1B,0.1941,0.1074,0.09,0.1079
LLAMA3.2_3B,0.3824,0.3173,0.3026,0.4532
LLAMA3,0.2917,0.1784,0.182,0.1583
MISTRAL_NEMO,0.394,0.2885,0.304,0.4173
PHI3.5_MINI,0.3914,0.4159,0.3723,0.4317
PHI3_MEDIUM,0.3442,0.3119,0.3168,0.4245
QWEN2.5_14B,0.6432,0.5844,0.5983,0.6691
QWEN2,0.4384,0.315,0.3256,0.482
