Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3729,0.2721,0.2942,0.4388
LLAMA3.1,0.56,0.3342,0.3668,0.5468
LLAMA3.2_1B,0.0459,0.189,0.0466,0.0647
LLAMA3.2_3B,0.3233,0.2769,0.2663,0.5468
MISTRAL_NEMO,0.5678,0.3752,0.3919,0.4676
PHI3.5_MINI,0.2915,0.3103,0.2818,0.3813
PHI3_MEDIUM,0.3079,0.0511,0.0812,0.0791
GEMMA2-2B,0.2767,0.2646,0.2448,0.3813
GEMMA2-9B,0.5409,0.4803,0.4954,0.5755
GEMMA2-27B,0.5572,0.5095,0.5154,0.5755
QWEN2,0.5055,0.2987,0.3188,0.3525
QWEN2.5_14B,0.5083,0.4771,0.4751,0.5827
