Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3773,0.2144,0.2245,0.2302
LLAMA3.1,0.5847,0.4024,0.4396,0.5899
LLAMA3.2_1B,0.2787,0.2307,0.12,0.1151
LLAMA3.2_3B,0.3611,0.2989,0.3012,0.482
MISTRAL_NEMO,0.4422,0.3532,0.3534,0.4532
PHI3.5_MINI,0.3463,0.3167,0.3153,0.4676
PHI3_MEDIUM,0.4252,0.3998,0.3995,0.4748
GEMMA2-2B,0.3367,0.2625,0.2591,0.295
GEMMA2-9B,0.5595,0.5026,0.5092,0.5899
GEMMA2-27B,0.5009,0.4753,0.482,0.6187
QWEN2,0.5232,0.3108,0.3631,0.4892
QWEN2.5_14B,0.6215,0.535,0.546,0.6403
