Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3511,0.3071,0.2635,0.3309
LLAMA3.1,0.5612,0.3648,0.3869,0.5827
LLAMA3.2_1B,0.1662,0.152,0.1124,0.1727
LLAMA3.2_3B,0.4551,0.2609,0.2582,0.5036
MISTRAL_NEMO,0.5294,0.311,0.3816,0.3957
PHI3.5_MINI,0.3235,0.3064,0.2723,0.2806
PHI3_MEDIUM,0.3079,0.0456,0.0737,0.0719
GEMMA2-2B,0.2784,0.1902,0.2037,0.259
GEMMA2-9B,0.5171,0.4838,0.4834,0.5468
GEMMA2-27B,0.5873,0.4953,0.5224,0.5827
QWEN2,0.3678,0.2501,0.2085,0.2374
QWEN2.5_14B,0.5447,0.44,0.4536,0.5612
