Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4063,0.2451,0.277,0.3525
LLAMA3.1,0.5168,0.3255,0.3484,0.5324
LLAMA3.2_1B,0.1662,0.1523,0.0943,0.1079
LLAMA3.2_3B,0.3078,0.2446,0.2632,0.4604
MISTRAL_NEMO,0.5548,0.3263,0.3001,0.3525
PHI3.5_MINI,0.3481,0.3109,0.296,0.295
PHI3_MEDIUM,0.3929,0.0946,0.1384,0.1007
GEMMA2-2B,0.2897,0.2916,0.233,0.295
GEMMA2-9B,0.525,0.501,0.4954,0.5468
GEMMA2-27B,0.5958,0.5065,0.5315,0.5899
QWEN2,0.5835,0.2707,0.2203,0.2302
QWEN2.5_14B,0.5532,0.4621,0.4745,0.5899
