Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.342,0.2627,0.2448,0.3669
LLAMA3.1,0.4635,0.3407,0.3563,0.5108
LLAMA3.2_1B,0.0989,0.1795,0.046,0.0719
LLAMA3.2_3B,0.39,0.3406,0.2747,0.3165
MISTRAL_NEMO,0.4594,0.3158,0.3491,0.4964
PHI3.5_MINI,0.3826,0.2877,0.2764,0.3381
PHI3_MEDIUM,0.3673,0.0826,0.1193,0.1871
GEMMA2-2B,0.3926,0.3444,0.3263,0.3957
GEMMA2-9B,0.5262,0.4759,0.4778,0.5683
GEMMA2-27B,0.4682,0.441,0.4485,0.5971
QWEN2,0.4611,0.3684,0.3403,0.4388
QWEN2.5_14B,0.5961,0.5398,0.5296,0.5899
