Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4719,0.1432,0.1966,0.1295
LLAMA3.1,0.5317,0.3954,0.4232,0.5683
LLAMA3.2_1B,0.2061,0.2048,0.1538,0.1295
LLAMA3.2_3B,0.4273,0.3238,0.3386,0.5324
MISTRAL_NEMO,0.4713,0.4111,0.4058,0.5036
PHI3.5_MINI,0.3479,0.3193,0.312,0.4892
PHI3_MEDIUM,0.4704,0.4199,0.4212,0.4676
GEMMA2-2B,0.3496,0.2847,0.274,0.3453
GEMMA2-9B,0.5414,0.4977,0.4929,0.5755
GEMMA2-27B,0.5194,0.5019,0.5039,0.6187
QWEN2,0.6185,0.3629,0.4217,0.5036
QWEN2.5_14B,0.6274,0.5774,0.579,0.6619
