Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3741,0.3207,0.2677,0.3885
LLAMA3.1,0.4497,0.2007,0.2399,0.1583
LLAMA3.2_1B,0.0357,0.0286,0.0317,0.0072
LLAMA3.2_3B,0.4096,0.4003,0.3163,0.3669
MISTRAL_NEMO,0.4372,0.2912,0.3141,0.4964
PHI3.5_MINI,0.3679,0.268,0.2636,0.3094
PHI3_MEDIUM,0.3019,0.0886,0.1253,0.2086
GEMMA2-2B,0.3817,0.3678,0.3318,0.3741
GEMMA2-9B,0.5383,0.4286,0.4197,0.554
GEMMA2-27B,0.533,0.4852,0.4947,0.5899
QWEN2,0.5445,0.4563,0.4207,0.4676
QWEN2.5_14B,0.5508,0.5428,0.521,0.6115
