Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3584,0.2553,0.2145,0.2086
LLAMA3.1,0.4648,0.3295,0.3473,0.482
LLAMA3.2_1B,0.1171,0.1907,0.1315,0.3022
LLAMA3.2_3B,0.3552,0.2084,0.121,0.1223
MISTRAL_NEMO,0.5365,0.3164,0.2887,0.4604
PHI3.5_MINI,0.2446,0.2627,0.1781,0.2158
PHI3_MEDIUM,0.1429,0.0286,0.0476,0.0072
GEMMA2-2B,0.2968,0.2612,0.2025,0.1942
GEMMA2-9B,0.5676,0.4861,0.4729,0.5899
GEMMA2-27B,0.4232,0.4204,0.4087,0.5036
QWEN2,0.301,0.2203,0.1816,0.2086
QWEN2.5_14B,0.4264,0.4224,0.3926,0.5108
