Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5679,0.5733,0.5574,0.6115
GEMMA2-2B,0.3684,0.3498,0.3335,0.4532
GEMMA2-9B,0.5841,0.5262,0.5385,0.6331
LLAMA3.1,0.5682,0.4273,0.456,0.5755
LLAMA3.2_1B,0.2428,0.1948,0.1063,0.1151
LLAMA3.2_3B,0.3417,0.3548,0.3134,0.446
LLAMA3,0.4021,0.2226,0.2381,0.1942
MISTRAL_NEMO,0.4301,0.3724,0.371,0.482
PHI3.5_MINI,0.4141,0.4095,0.3794,0.4245
PHI3_MEDIUM,0.4094,0.3677,0.3714,0.4892
QWEN2.5_14B,0.6487,0.578,0.6002,0.6619
QWEN2,0.4942,0.3481,0.3602,0.4892
