Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4271,0.1271,0.1822,0.1367
LLAMA3.1,0.5498,0.3516,0.3793,0.554
LLAMA3.2_1B,0.1939,0.1833,0.1247,0.1295
LLAMA3.2_3B,0.4244,0.3624,0.3651,0.5252
MISTRAL_NEMO,0.3484,0.3477,0.3263,0.4317
PHI3.5_MINI,0.3408,0.3248,0.3203,0.4964
PHI3_MEDIUM,0.3326,0.2507,0.2648,0.3094
GEMMA2-2B,0.3939,0.2483,0.2554,0.3094
GEMMA2-9B,0.5597,0.5003,0.501,0.5827
GEMMA2-27B,0.5762,0.5545,0.5564,0.6187
QWEN2,0.4667,0.3342,0.3514,0.518
QWEN2.5_14B,0.6328,0.5821,0.5852,0.6763
