Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5735,0.5869,0.563,0.5971
GEMMA2-2B,0.339,0.2777,0.2421,0.3237
GEMMA2-9B,0.5226,0.4075,0.4322,0.5755
LLAMA3.1,0.3761,0.3358,0.3358,0.4388
LLAMA3.2_1B,0.0714,0.002,0.0039,0.0072
LLAMA3.2_3B,0.2394,0.2433,0.1685,0.2518
LLAMA3,0.3275,0.3239,0.2347,0.2302
MISTRAL_NEMO,0.5403,0.3987,0.4311,0.5899
PHI3.5_MINI,0.4,0.2996,0.3069,0.3453
PHI3_MEDIUM,0.2331,0.0769,0.1105,0.1799
QWEN2.5_14B,0.5198,0.5428,0.5169,0.6115
QWEN2,0.4873,0.4259,0.4032,0.4604
