Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3626,0.2668,0.2861,0.4101
LLAMA3.1,0.5317,0.3783,0.3859,0.5612
LLAMA3.2_1B,0.2537,0.1601,0.0751,0.0863
LLAMA3.2_3B,0.2918,0.2823,0.2639,0.5396
MISTRAL_NEMO,0.5869,0.3852,0.3773,0.4892
PHI3.5_MINI,0.2905,0.312,0.2805,0.3741
PHI3_MEDIUM,0.3095,0.0456,0.0721,0.0719
GEMMA2-2B,0.2762,0.2841,0.2542,0.4029
GEMMA2-9B,0.5285,0.4272,0.449,0.5612
GEMMA2-27B,0.5777,0.5272,0.5349,0.6043
QWEN2,0.479,0.2811,0.3001,0.3237
QWEN2.5_14B,0.5215,0.5105,0.4978,0.5899
