Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3444,0.2665,0.2394,0.3813
LLAMA3.1,0.5032,0.2241,0.2831,0.2446
LLAMA3.2_1B,0.1476,0.1255,0.0796,0.0432
LLAMA3.2_3B,0.4823,0.3647,0.2888,0.3669
MISTRAL_NEMO,0.4296,0.2592,0.2961,0.4892
PHI3.5_MINI,0.3553,0.2195,0.2456,0.3094
PHI3_MEDIUM,0.2555,0.0745,0.094,0.1583
GEMMA2-2B,0.3083,0.2899,0.2636,0.3741
GEMMA2-9B,0.5072,0.3894,0.3889,0.5252
GEMMA2-27B,0.5443,0.5047,0.5052,0.5971
QWEN2,0.5657,0.4868,0.448,0.482
QWEN2.5_14B,0.5992,0.5518,0.5449,0.6259
