Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5594,0.5643,0.5481,0.5971
GEMMA2-2B,0.3883,0.3235,0.341,0.4676
GEMMA2-9B,0.5809,0.5172,0.5286,0.6187
LLAMA3.1,0.5553,0.4168,0.448,0.5683
LLAMA3.2_1B,0.3483,0.2092,0.1538,0.1511
LLAMA3.2_3B,0.4665,0.39,0.3782,0.4748
LLAMA3,0.4116,0.2414,0.2599,0.2374
MISTRAL_NEMO,0.4657,0.3819,0.3826,0.4532
PHI3.5_MINI,0.4067,0.4005,0.3718,0.4101
PHI3_MEDIUM,0.3954,0.4095,0.393,0.5108
QWEN2.5_14B,0.6192,0.5406,0.5654,0.6547
QWEN2,0.4998,0.3548,0.3704,0.4964
