Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.387,0.2697,0.2995,0.4317
LLAMA3.1,0.5295,0.3208,0.3555,0.518
LLAMA3.2_1B,0.098,0.189,0.0492,0.0647
LLAMA3.2_3B,0.3021,0.2789,0.2612,0.554
MISTRAL_NEMO,0.5975,0.4011,0.4241,0.482
PHI3.5_MINI,0.2878,0.3083,0.2792,0.3741
PHI3_MEDIUM,0.3452,0.0735,0.1103,0.1079
GEMMA2-2B,0.2682,0.2629,0.2405,0.3885
GEMMA2-9B,0.5192,0.4541,0.4723,0.5612
GEMMA2-27B,0.5525,0.5031,0.5099,0.5683
QWEN2,0.5319,0.3027,0.3261,0.3525
QWEN2.5_14B,0.5252,0.5169,0.5021,0.5971
