Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3472,0.2873,0.2706,0.4173
LLAMA3.1,0.4695,0.1718,0.2486,0.2302
LLAMA3.2_1B,0.1821,0.1199,0.0859,0.0647
LLAMA3.2_3B,0.2648,0.3778,0.2485,0.3237
MISTRAL_NEMO,0.43,0.2643,0.3061,0.482
PHI3.5_MINI,0.3787,0.2707,0.2689,0.3165
PHI3_MEDIUM,0.3108,0.0821,0.119,0.2014
GEMMA2-2B,0.3181,0.3278,0.2661,0.3597
GEMMA2-9B,0.5303,0.4031,0.4069,0.554
GEMMA2-27B,0.5572,0.5221,0.5207,0.6115
QWEN2,0.5275,0.4076,0.3992,0.4388
QWEN2.5_14B,0.5517,0.5494,0.5278,0.6187
