Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3337,0.3112,0.2444,0.2518
LLAMA3.1,0.3231,0.3401,0.3097,0.446
LLAMA3.2_1B,0.1939,0.1342,0.1152,0.1727
LLAMA3.2_3B,0.3265,0.422,0.3052,0.3597
MISTRAL_NEMO,0.4816,0.2548,0.2657,0.4964
PHI3.5_MINI,0.2732,0.2773,0.2331,0.2878
PHI3_MEDIUM,0.0952,0.011,0.0197,0.0144
GEMMA2-2B,0.2312,0.2758,0.1557,0.1655
GEMMA2-9B,0.5234,0.4257,0.4372,0.554
GEMMA2-27B,0.587,0.5735,0.5543,0.5827
QWEN2,0.418,0.2638,0.2648,0.3022
QWEN2.5_14B,0.4847,0.5072,0.4763,0.554
