Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.488,0.1701,0.212,0.1439
LLAMA3.1,0.6121,0.4461,0.4845,0.6331
LLAMA3.2_1B,0.2525,0.2193,0.1443,0.1439
LLAMA3.2_3B,0.4387,0.3772,0.3804,0.518
MISTRAL_NEMO,0.3897,0.3764,0.3574,0.4964
PHI3.5_MINI,0.3445,0.3248,0.3169,0.4964
PHI3_MEDIUM,0.4285,0.383,0.3838,0.4173
GEMMA2-2B,0.3795,0.3253,0.3008,0.3237
GEMMA2-9B,0.5717,0.5137,0.5195,0.6115
GEMMA2-27B,0.5688,0.5586,0.5556,0.6187
QWEN2,0.5454,0.3523,0.3836,0.518
QWEN2.5_14B,0.6339,0.5797,0.5847,0.6691
