Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4042,0.2566,0.2646,0.2446
LLAMA3.1,0.5687,0.4276,0.4614,0.5971
LLAMA3.2_1B,0.2378,0.1996,0.1464,0.1727
LLAMA3.2_3B,0.321,0.288,0.2678,0.4532
MISTRAL_NEMO,0.4102,0.3429,0.3424,0.4388
PHI3.5_MINI,0.3398,0.3234,0.3159,0.4676
PHI3_MEDIUM,0.382,0.3272,0.3284,0.3741
GEMMA2-2B,0.2909,0.221,0.237,0.2878
GEMMA2-9B,0.5749,0.5137,0.5247,0.6115
GEMMA2-27B,0.5617,0.5408,0.5432,0.5899
QWEN2,0.4447,0.3077,0.342,0.4532
QWEN2.5_14B,0.6561,0.5569,0.5649,0.6691
