Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6709,0.6626,0.6658,0.7303
GEMMA2-2B,0.5948,0.6741,0.5677,0.5793
GEMMA2-9B,0.6933,0.7507,0.6905,0.7066
LLAMA3.1,0.6426,0.7009,0.6206,0.6276
LLAMA3.2_1B,0.4807,0.5161,0.3289,0.3638
LLAMA3.2_3B,0.5993,0.6676,0.5596,0.561
LLAMA3,0.6321,0.7117,0.5738,0.5825
MISTRAL_NEMO,0.7123,0.7462,0.7206,0.7512
PHI3.5_MINI,0.6444,0.7053,0.6289,0.6408
PHI3_MEDIUM,0.6666,0.7188,0.6147,0.6141
QWEN2.5_14B,0.7385,0.7786,0.7488,0.7732
QWEN2,0.6799,0.7224,0.6752,0.6991
