Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.7074,0.676,0.6876,0.7249
LLAMA3.1,0.603,0.6228,0.599,0.6314
LLAMA3.2_1B,0.2323,0.2068,0.1566,0.201
LLAMA3.2_3B,0.5769,0.6148,0.5864,0.6024
MISTRAL_NEMO,0.5604,0.4939,0.4969,0.7147
PHI3.5_MINI,0.4476,0.5044,0.4292,0.5744
PHI3_MEDIUM,0.1915,0.0149,0.0276,0.0193
GEMMA2-2B,0.5866,0.6168,0.5832,0.5873
GEMMA2-9B,0.7574,0.7594,0.7481,0.7711
GEMMA2-27B,0.7069,0.7468,0.7172,0.7415
QWEN2,0.67,0.7166,0.6758,0.7034
QWEN2.5_14B,0.7142,0.7627,0.7224,0.7426
