Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7461,0.7522,0.7483,0.784
GEMMA2-2B,0.6024,0.6799,0.6035,0.612
GEMMA2-9B,0.7118,0.765,0.7209,0.7415
LLAMA3.1,0.6974,0.7122,0.699,0.7292
LLAMA3.2_1B,0.4748,0.5353,0.416,0.4224
LLAMA3.2_3B,0.6421,0.7084,0.6456,0.6609
LLAMA3,0.6581,0.743,0.6484,0.6507
MISTRAL_NEMO,0.7595,0.7502,0.752,0.7845
PHI3.5_MINI,0.6684,0.7262,0.6807,0.7015
PHI3_MEDIUM,0.7096,0.7675,0.7176,0.74
QWEN2.5_14B,0.7496,0.797,0.7625,0.7834
QWEN2,0.6813,0.7223,0.6923,0.7195
