Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6929,0.6881,0.6902,0.7512
GEMMA2-2B,0.6173,0.694,0.6081,0.6196
GEMMA2-9B,0.695,0.7488,0.6877,0.7028
LLAMA3.1,0.658,0.7051,0.6323,0.6416
LLAMA3.2_1B,0.5244,0.5355,0.3289,0.3514
LLAMA3.2_3B,0.6145,0.6692,0.5831,0.5862
LLAMA3,0.6365,0.7134,0.5753,0.5842
MISTRAL_NEMO,0.707,0.7412,0.7061,0.7324
PHI3.5_MINI,0.6511,0.7047,0.6398,0.6569
PHI3_MEDIUM,0.6656,0.7189,0.6169,0.6173
QWEN2.5_14B,0.7456,0.7818,0.7556,0.7802
QWEN2,0.6775,0.7195,0.6715,0.6953
