Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7046,0.7265,0.7083,0.741
GEMMA2-2B,0.5993,0.6662,0.5996,0.6169
GEMMA2-9B,0.6962,0.7423,0.6925,0.712
LLAMA3.1,0.6487,0.6998,0.6439,0.6615
LLAMA3.2_1B,0.207,0.4404,0.2752,0.3201
LLAMA3.2_3B,0.5444,0.5978,0.4646,0.4831
LLAMA3,0.6481,0.7342,0.6225,0.6303
MISTRAL_NEMO,0.7431,0.7271,0.7343,0.7749
PHI3.5_MINI,0.6425,0.6937,0.6235,0.6355
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7389,0.7815,0.7497,0.7716
QWEN2,0.6721,0.7025,0.6593,0.6857
