Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6872,0.7154,0.6897,0.7184
GEMMA2-2B,0.5618,0.6448,0.4952,0.5056
GEMMA2-9B,0.7397,0.7508,0.7337,0.7593
LLAMA3.1,0.6406,0.6786,0.652,0.6717
LLAMA3.2_1B,0.3879,0.3867,0.3866,0.4126
LLAMA3.2_3B,0.5583,0.5581,0.5467,0.5852
LLAMA3,0.6302,0.7072,0.6421,0.6443
MISTRAL_NEMO,0.7355,0.6842,0.6977,0.741
PHI3.5_MINI,0.6139,0.6838,0.5995,0.6048
PHI3_MEDIUM,0.7613,0.6204,0.5203,0.65
QWEN2.5_14B,0.7166,0.7567,0.7305,0.7496
QWEN2,0.6648,0.7221,0.677,0.6996
