Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6895,0.7176,0.6917,0.72
GEMMA2-2B,0.5573,0.6446,0.4931,0.503
GEMMA2-9B,0.7331,0.7425,0.7268,0.7539
LLAMA3.1,0.6471,0.684,0.6588,0.6765
LLAMA3.2_1B,0.432,0.4088,0.4186,0.4376
LLAMA3.2_3B,0.5835,0.5667,0.5601,0.5965
LLAMA3,0.6321,0.7105,0.6443,0.6443
MISTRAL_NEMO,0.7448,0.6793,0.6988,0.7458
PHI3.5_MINI,0.6138,0.6863,0.6018,0.607
PHI3_MEDIUM,0.4757,0.617,0.5363,0.7129
QWEN2.5_14B,0.7177,0.7578,0.7317,0.7507
QWEN2,0.6629,0.7176,0.6752,0.698
