Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7476,0.7546,0.75,0.7851
GEMMA2-2B,0.6012,0.6789,0.6019,0.6104
GEMMA2-9B,0.7116,0.7648,0.721,0.7415
LLAMA3.1,0.6952,0.713,0.6984,0.7286
LLAMA3.2_1B,0.4714,0.5183,0.4192,0.4256
LLAMA3.2_3B,0.642,0.7079,0.6446,0.6599
LLAMA3,0.6569,0.7415,0.6464,0.6491
MISTRAL_NEMO,0.7601,0.7506,0.7524,0.7851
PHI3.5_MINI,0.6698,0.7291,0.6825,0.7029
PHI3_MEDIUM,0.7114,0.7699,0.7196,0.7412
QWEN2.5_14B,0.7485,0.7963,0.7617,0.7824
QWEN2,0.6849,0.7258,0.6959,0.7233
