Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7186,0.7588,0.7282,0.7566
GEMMA2-2B,0.6177,0.6738,0.6262,0.6486
GEMMA2-9B,0.6946,0.7357,0.6855,0.7045
LLAMA3.1,0.629,0.6993,0.6289,0.6408
LLAMA3.2_1B,0.3591,0.3567,0.2867,0.2847
LLAMA3.2_3B,0.5512,0.6164,0.4599,0.4774
LLAMA3,0.6388,0.7052,0.5679,0.5739
MISTRAL_NEMO,0.714,0.7261,0.7196,0.7542
PHI3.5_MINI,0.6503,0.6973,0.631,0.6445
PHI3_MEDIUM,0.6098,0.581,0.5915,0.6925
QWEN2.5_14B,0.7504,0.7914,0.7623,0.7851
QWEN2,0.6736,0.7041,0.663,0.69
