Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6936,0.7285,0.6987,0.7238
GEMMA2-2B,0.5557,0.6389,0.4954,0.497
GEMMA2-9B,0.728,0.7433,0.7224,0.7469
LLAMA3.1,0.6432,0.6795,0.6479,0.6717
LLAMA3.2_1B,0.3475,0.4375,0.28,0.3094
LLAMA3.2_3B,0.5674,0.6109,0.5373,0.5403
LLAMA3,0.6445,0.7293,0.6547,0.662
MISTRAL_NEMO,0.7011,0.6665,0.6802,0.7258
PHI3.5_MINI,0.6203,0.6959,0.5981,0.6027
PHI3_MEDIUM,0.4917,0.6377,0.5544,0.7315
QWEN2.5_14B,0.7311,0.7505,0.7394,0.7593
QWEN2,0.662,0.7175,0.6687,0.6921
