Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6865,0.6808,0.6821,0.7297
GEMMA2-2B,0.5452,0.5998,0.5229,0.5352
GEMMA2-9B,0.7654,0.7042,0.7248,0.756
LLAMA3.1,0.6621,0.6167,0.6168,0.6249
LLAMA3.2_1B,0.3692,0.3119,0.2969,0.4288
LLAMA3.2_3B,0.5618,0.5885,0.5677,0.5948
LLAMA3,0.6574,0.6913,0.6494,0.6448
MISTRAL_NEMO,0.6678,0.6276,0.6362,0.6878
PHI3.5_MINI,0.619,0.6719,0.6328,0.6482
PHI3_MEDIUM,0.6,0.6836,0.588,0.768
QWEN2.5_14B,0.7358,0.7489,0.7419,0.762
QWEN2,0.652,0.6937,0.6587,0.684
