Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7507,0.7582,0.7534,0.7883
GEMMA2-2B,0.6024,0.6767,0.6039,0.6136
GEMMA2-9B,0.7083,0.7627,0.7174,0.7383
LLAMA3.1,0.6936,0.7135,0.697,0.727
LLAMA3.2_1B,0.4174,0.4539,0.3831,0.389
LLAMA3.2_3B,0.641,0.7084,0.642,0.6561
LLAMA3,0.652,0.7348,0.6382,0.64
MISTRAL_NEMO,0.7485,0.7501,0.7469,0.7759
PHI3.5_MINI,0.6667,0.7251,0.6789,0.6987
PHI3_MEDIUM,0.6955,0.7342,0.701,0.7262
QWEN2.5_14B,0.7496,0.7977,0.7629,0.7834
QWEN2,0.6784,0.7191,0.6883,0.7174
