Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6705,0.6616,0.6651,0.7303
GEMMA2-2B,0.5982,0.678,0.5713,0.583
GEMMA2-9B,0.6935,0.7505,0.6904,0.7066
LLAMA3.1,0.6454,0.7052,0.6248,0.6319
LLAMA3.2_1B,0.4794,0.5418,0.3399,0.3778
LLAMA3.2_3B,0.5971,0.6671,0.5581,0.5588
LLAMA3,0.6308,0.7107,0.5713,0.5798
MISTRAL_NEMO,0.7079,0.7412,0.716,0.7469
PHI3.5_MINI,0.6464,0.7074,0.6309,0.6426
PHI3_MEDIUM,0.6656,0.7189,0.6169,0.6173
QWEN2.5_14B,0.7376,0.7787,0.7479,0.7722
QWEN2,0.6789,0.7219,0.6753,0.6991
