Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6337,0.6792,0.6219,0.6093
LLAMA3.1,0.6443,0.667,0.6456,0.6518
LLAMA3.2_1B,0.3933,0.3579,0.291,0.3896
LLAMA3.2_3B,0.6096,0.6274,0.616,0.6459
MISTRAL_NEMO,0.7597,0.5426,0.5705,0.6819
PHI3.5_MINI,0.4724,0.5266,0.468,0.6325
PHI3_MEDIUM,0.4463,0.1246,0.1525,0.1596
GEMMA2-2B,0.5566,0.6344,0.5322,0.5298
GEMMA2-9B,0.7394,0.7512,0.7403,0.7603
GEMMA2-27B,0.742,0.7076,0.7213,0.7625
QWEN2,0.6758,0.7253,0.6895,0.7141
QWEN2.5_14B,0.7365,0.7698,0.7467,0.7684
