Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6928,0.7198,0.6945,0.7233
GEMMA2-2B,0.5551,0.6423,0.4934,0.5035
GEMMA2-9B,0.736,0.7459,0.7295,0.7555
LLAMA3.1,0.6526,0.6904,0.6641,0.6824
LLAMA3.2_1B,0.4426,0.4135,0.4245,0.4505
LLAMA3.2_3B,0.5935,0.5788,0.5711,0.6013
LLAMA3,0.6354,0.711,0.6478,0.648
MISTRAL_NEMO,0.7579,0.6874,0.7093,0.7566
PHI3.5_MINI,0.613,0.6841,0.599,0.6042
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.7161,0.7566,0.7302,0.7491
QWEN2,0.6664,0.7216,0.6795,0.7023
