Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7157,0.7544,0.7249,0.7544
GEMMA2-2B,0.624,0.6826,0.6333,0.6539
GEMMA2-9B,0.6924,0.7313,0.6839,0.7039
LLAMA3.1,0.6377,0.7082,0.6366,0.6425
LLAMA3.2_1B,0.3694,0.3597,0.2614,0.2549
LLAMA3.2_3B,0.5493,0.6297,0.463,0.4804
LLAMA3,0.6444,0.7061,0.5678,0.5739
MISTRAL_NEMO,0.7209,0.727,0.7238,0.7582
PHI3.5_MINI,0.6517,0.7018,0.634,0.6481
PHI3_MEDIUM,0.6403,0.5971,0.6083,0.7753
QWEN2.5_14B,0.7474,0.7888,0.7593,0.7824
QWEN2,0.6747,0.7062,0.6656,0.6926
