Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7479,0.7565,0.7512,0.7856
GEMMA2-2B,0.5982,0.6743,0.5995,0.6093
GEMMA2-9B,0.7084,0.7646,0.7179,0.7378
LLAMA3.1,0.6906,0.7101,0.694,0.7238
LLAMA3.2_1B,0.4272,0.4762,0.385,0.3907
LLAMA3.2_3B,0.644,0.7139,0.6462,0.6599
LLAMA3,0.6499,0.734,0.6399,0.6427
MISTRAL_NEMO,0.7541,0.7485,0.7488,0.7818
PHI3.5_MINI,0.667,0.7253,0.6791,0.6997
PHI3_MEDIUM,0.7093,0.7572,0.7166,0.7416
QWEN2.5_14B,0.7498,0.797,0.7627,0.7834
QWEN2,0.6837,0.7253,0.6946,0.7217
