Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6903,0.685,0.6873,0.7496
GEMMA2-2B,0.6169,0.6921,0.6087,0.6206
GEMMA2-9B,0.6951,0.7479,0.6875,0.7028
LLAMA3.1,0.6514,0.6966,0.6257,0.6351
LLAMA3.2_1B,0.5006,0.5142,0.3163,0.338
LLAMA3.2_3B,0.6129,0.6684,0.5788,0.5809
LLAMA3,0.6364,0.7139,0.5741,0.5831
MISTRAL_NEMO,0.7036,0.7351,0.7023,0.7297
PHI3.5_MINI,0.6518,0.7057,0.6397,0.6571
PHI3_MEDIUM,0.6668,0.721,0.6167,0.6172
QWEN2.5_14B,0.7448,0.7817,0.7551,0.7797
QWEN2,0.6757,0.719,0.6704,0.6937
