Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.7024,0.6775,0.687,0.7238
LLAMA3.1,0.5969,0.6135,0.5897,0.6255
LLAMA3.2_1B,0.2469,0.2255,0.1812,0.2348
LLAMA3.2_3B,0.5823,0.6198,0.5914,0.6083
MISTRAL_NEMO,0.5567,0.4903,0.4918,0.7093
PHI3.5_MINI,0.449,0.5056,0.43,0.5755
PHI3_MEDIUM,0.1862,0.0145,0.0268,0.0188
GEMMA2-2B,0.5919,0.6209,0.587,0.5905
GEMMA2-9B,0.7575,0.759,0.7479,0.7716
GEMMA2-27B,0.7075,0.7469,0.7177,0.7421
QWEN2,0.6715,0.7185,0.6775,0.705
QWEN2.5_14B,0.7138,0.7619,0.7223,0.7426
