Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6552,0.6567,0.6559,0.6803
LLAMA3.1,0.5586,0.5856,0.5468,0.583
LLAMA3.2_1B,0.256,0.2537,0.2205,0.2923
LLAMA3.2_3B,0.5561,0.5999,0.5644,0.5857
MISTRAL_NEMO,0.4981,0.4622,0.4595,0.6695
PHI3.5_MINI,0.4467,0.5031,0.4282,0.5728
PHI3_MEDIUM,0.1806,0.0161,0.0296,0.021
GEMMA2-2B,0.5701,0.6035,0.5695,0.5814
GEMMA2-9B,0.7522,0.7566,0.7435,0.7689
GEMMA2-27B,0.7031,0.7463,0.7144,0.7367
QWEN2,0.6634,0.7122,0.669,0.6948
QWEN2.5_14B,0.715,0.7624,0.723,0.7437
