Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7001,0.6962,0.6955,0.7356
GEMMA2-2B,0.5584,0.6292,0.5553,0.5631
GEMMA2-9B,0.7737,0.6955,0.7223,0.7614
LLAMA3.1,0.6587,0.6199,0.6321,0.6604
LLAMA3.2_1B,0.355,0.3675,0.3232,0.3455
LLAMA3.2_3B,0.5642,0.6193,0.5686,0.5793
LLAMA3,0.6745,0.7297,0.6922,0.7018
MISTRAL_NEMO,0.6322,0.6232,0.6195,0.6645
PHI3.5_MINI,0.6266,0.6886,0.6418,0.6568
PHI3_MEDIUM,0.5743,0.6082,0.5613,0.6677
QWEN2.5_14B,0.7483,0.7491,0.7476,0.7663
QWEN2,0.6518,0.7039,0.6596,0.683
