Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7054,0.7272,0.7095,0.7421
GEMMA2-2B,0.5975,0.6646,0.5962,0.6131
GEMMA2-9B,0.6933,0.7388,0.6895,0.7093
LLAMA3.1,0.6459,0.6987,0.6425,0.6604
LLAMA3.2_1B,0.4136,0.4146,0.2679,0.3046
LLAMA3.2_3B,0.5431,0.5981,0.4644,0.4841
LLAMA3,0.6481,0.7347,0.6207,0.6282
MISTRAL_NEMO,0.7485,0.7299,0.7381,0.7754
PHI3.5_MINI,0.6449,0.6973,0.6264,0.6384
PHI3_MEDIUM,0.578,0.5621,0.563,0.7741
QWEN2.5_14B,0.7388,0.7815,0.7498,0.7716
QWEN2,0.6701,0.6993,0.6563,0.6824
