Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7059,0.7275,0.7097,0.7431
GEMMA2-2B,0.5901,0.658,0.5902,0.6061
GEMMA2-9B,0.6952,0.7406,0.6905,0.7098
LLAMA3.1,0.6425,0.6975,0.6391,0.6556
LLAMA3.2_1B,0.3887,0.4015,0.2883,0.3043
LLAMA3.2_3B,0.5379,0.5911,0.4658,0.4831
LLAMA3,0.6436,0.7308,0.6194,0.6271
MISTRAL_NEMO,0.7319,0.7221,0.7264,0.7657
PHI3.5_MINI,0.6447,0.6959,0.6276,0.6392
PHI3_MEDIUM,0.5879,0.5469,0.5565,0.6793
QWEN2.5_14B,0.7384,0.7815,0.7495,0.7716
QWEN2,0.6727,0.7035,0.6585,0.6835
