Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7343,0.7464,0.7354,0.7652
GEMMA2-2B,0.6398,0.627,0.6317,0.6787
GEMMA2-9B,0.7193,0.7607,0.7274,0.7491
LLAMA3.1,0.6433,0.6647,0.6447,0.6774
LLAMA3.2_1B,0.3552,0.3507,0.3097,0.3581
LLAMA3.2_3B,0.6229,0.6739,0.6368,0.6577
LLAMA3,0.6711,0.7512,0.6804,0.6889
MISTRAL_NEMO,0.7552,0.6671,0.6926,0.7544
PHI3.5_MINI,0.6717,0.7155,0.6756,0.701
PHI3_MEDIUM,0.7139,0.5257,0.5464,0.6608
QWEN2.5_14B,0.7358,0.7845,0.7489,0.7711
QWEN2,0.6676,0.7073,0.6748,0.7034
