Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7057,0.7311,0.7108,0.7426
GEMMA2-2B,0.593,0.6633,0.5944,0.6093
GEMMA2-9B,0.7001,0.7474,0.696,0.7147
LLAMA3.1,0.6181,0.6667,0.6143,0.6336
LLAMA3.2_1B,0.3669,0.3812,0.3017,0.3052
LLAMA3.2_3B,0.5148,0.5721,0.4517,0.4712
LLAMA3,0.6383,0.7229,0.6076,0.6158
MISTRAL_NEMO,0.7051,0.7065,0.7056,0.7458
PHI3.5_MINI,0.6439,0.6984,0.6267,0.6369
PHI3_MEDIUM,0.5496,0.5378,0.541,0.6275
QWEN2.5_14B,0.7386,0.7825,0.7502,0.7722
QWEN2,0.6717,0.6978,0.6549,0.6819
