Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.735,0.7478,0.7367,0.7663
GEMMA2-2B,0.6401,0.6235,0.6289,0.6771
GEMMA2-9B,0.7261,0.7625,0.7326,0.7555
LLAMA3.1,0.6604,0.6816,0.6611,0.6946
LLAMA3.2_1B,0.3981,0.4192,0.2987,0.3363
LLAMA3.2_3B,0.6374,0.6927,0.6523,0.6711
LLAMA3,0.6686,0.7491,0.6787,0.6857
MISTRAL_NEMO,0.7715,0.677,0.7053,0.7641
PHI3.5_MINI,0.6744,0.7163,0.6768,0.7017
PHI3_MEDIUM,0.7852,0.5025,0.5186,0.6659
QWEN2.5_14B,0.7369,0.7849,0.7499,0.7716
QWEN2,0.6702,0.7082,0.678,0.7066
