Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7347,0.7472,0.7361,0.7657
GEMMA2-2B,0.6422,0.6282,0.6329,0.6797
GEMMA2-9B,0.7226,0.7619,0.7301,0.7517
LLAMA3.1,0.6734,0.6789,0.6664,0.7061
LLAMA3.2_1B,0.3979,0.3552,0.1799,0.2103
LLAMA3.2_3B,0.6451,0.7014,0.6607,0.6787
LLAMA3,0.6691,0.7506,0.6774,0.6846
MISTRAL_NEMO,0.787,0.6903,0.7191,0.7792
PHI3.5_MINI,0.6743,0.7159,0.6773,0.7028
PHI3_MEDIUM,0.6984,0.4719,0.4655,0.629
QWEN2.5_14B,0.7376,0.7862,0.7506,0.7722
QWEN2,0.6757,0.7117,0.6828,0.7131
