Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.672,0.6652,0.6678,0.7319
GEMMA2-2B,0.5874,0.6635,0.5586,0.5717
GEMMA2-9B,0.6948,0.7536,0.6939,0.7109
LLAMA3.1,0.6394,0.7003,0.6199,0.6265
LLAMA3.2_1B,0.3834,0.4066,0.309,0.3197
LLAMA3.2_3B,0.5804,0.6539,0.5442,0.5454
LLAMA3,0.6327,0.7096,0.5749,0.5841
MISTRAL_NEMO,0.6771,0.7205,0.6862,0.7157
PHI3.5_MINI,0.6438,0.7068,0.6306,0.644
PHI3_MEDIUM,0.658,0.7038,0.6108,0.6115
QWEN2.5_14B,0.7373,0.7793,0.748,0.7716
QWEN2,0.6788,0.723,0.6738,0.6969
