Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7013,0.6937,0.695,0.7383
GEMMA2-2B,0.5621,0.6326,0.555,0.5621
GEMMA2-9B,0.775,0.6948,0.7217,0.7593
LLAMA3.1,0.6944,0.6463,0.663,0.6943
LLAMA3.2_1B,0.4167,0.3964,0.3028,0.3509
LLAMA3.2_3B,0.5805,0.6348,0.5854,0.5948
LLAMA3,0.6885,0.7406,0.7065,0.7141
MISTRAL_NEMO,0.665,0.6388,0.6422,0.6883
PHI3.5_MINI,0.6333,0.6969,0.6495,0.6619
PHI3_MEDIUM,0.6,0.6836,0.588,0.768
QWEN2.5_14B,0.7482,0.7485,0.7473,0.7636
QWEN2,0.6484,0.6983,0.6588,0.6819
